,Given_Country,Response,Real_Country
0,India,India,France
1,Sierra_Leone,Sierra,Singapore
2,India,India,USA
3,France,France,Singapore
4,Singapore,Singapore,France
5,Sierra_Leone,Sierra,India
6,Singapore,Singapore,USA
7,USA,India,India
8,France,France,USA
9,Singapore,Singapore,USA
10,USA,USA,Sierra_Leone
11,USA,USA,USA
12,Sierra_Leone,Sierra,USA
13,USA,USA,Singapore
14,Singapore,Singapore,India
15,Singapore,Singapore,India
16,France,France,Singapore
17,USA,USA,India
18,France,France,USA
19,USA,USA,India
20,Sierra_Leone,Sierra,Singapore
21,India,France,France
22,France,France,USA
23,India,France,France
24,USA,France,France
25,France,France,Singapore
26,Sierra_Leone,Sierra,Singapore
27,France,India,India
28,India,India,India
29,India,India,Sierra_Leone
30,Singapore,Singapore,India
31,France,France,Sierra_Leone
32,Singapore,Singapore,Sierra_Leone
33,USA,USA,India
34,France,India,India
35,USA,India,India
36,USA,USA,France
37,USA,USA,Singapore
38,France,France,France
39,France,France,France
40,France,India,India
41,USA,USA,France
42,France,France,USA
43,USA,USA,USA
44,India,India,USA
45,India,India,India
46,USA,USA,Sierra_Leone
47,India,India,Sierra_Leone
48,Singapore,Singapore,France
49,France,France,France
50,Singapore,Singapore,USA
51,Singapore,Singapore,India
52,Singapore,Singapore,USA
53,France,India,India
54,Singapore,Singapore,USA
55,France,France,USA
56,USA,USA,India
57,Sierra_Leone,Sierra,Singapore
58,Sierra_Leone,Sierra,India
59,India,India,Sierra_Leone
60,Sierra_Leone,Sierra,USA
61,Singapore,Singapore,Singapore
62,India,France,France
63,India,France,France
64,India,India,Sierra_Leone
65,France,France,Singapore
66,Singapore,Singapore,Singapore
67,USA,USA,France
68,Singapore,Singapore,France
69,France,India,India
70,Sierra_Leone,Sierra,USA
71,Sierra_Leone,Sierra,France
72,USA,USA,USA
73,India,India,Sierra_Leone
74,USA,India,India
75,USA,France,France
76,France,France,Singapore
77,Sierra_Leone,Korea,Singapore
78,India,India,India
79,USA,USA,Sierra_Leone
80,Sierra_Leone,Sierra,India
81,India,USA,USA
82,Singapore,Singapore,USA
83,Singapore,Singapore,USA
84,Singapore,Singapore,Singapore
85,France,France,France
86,France,France,Singapore
87,USA,USA,France
88,USA,USA,France
89,India,USA,USA
90,Sierra_Leone,Sierra,India
91,India,India,USA
92,Sierra_Leone,Sierra,USA
93,Singapore,Singapore,France
94,France,France,USA
95,USA,USA,USA
96,Singapore,Singapore,USA
97,France,France,Singapore
98,India,India,USA
99,India,India,Sierra_Leone
