,Given_Country,Response,Real_Country
0,USA,USA,Sierra_Leone
1,USA,USA,France
2,India,India,Sierra_Leone
3,France,France,France
4,Singapore,Singapore,India
5,Sierra_Leone,Sierra,Sierra_Leone
6,India,USA,Singapore
7,Singapore,Singapore,Sierra_Leone
8,France,USA,USA
9,Sierra_Leone,China,Singapore
10,Sierra_Leone,Sierra,Sierra_Leone
11,Singapore,Singapore,France
12,Singapore,Singapore,USA
13,France,China,Singapore
14,USA,USA,France
15,France,France,France
16,USA,USA,India
17,USA,USA,USA
18,USA,USA,Singapore
19,Sierra_Leone,Sierra,Singapore
20,Sierra_Leone,Sierra,India
21,Sierra_Leone,Sierra,France
22,Singapore,Singapore,India
23,USA,USA,Singapore
24,France,France,India
25,Sierra_Leone,Sierra,India
26,Singapore,Singapore,Singapore
27,Singapore,Singapore,Singapore
28,Singapore,Singapore,France
29,India,Ghana,Sierra_Leone
30,Sierra_Leone,Sierra,Singapore
31,Singapore,Singapore,Singapore
32,Singapore,Singapore,India
33,India,India,Singapore
34,Sierra_Leone,Sierra,Sierra_Leone
35,France,France,India
36,France,India,India
37,France,France,USA
38,Sierra_Leone,Sierra,USA
39,USA,USA,Singapore
40,Sierra_Leone,Sierra,France
41,USA,USA,Sierra_Leone
42,USA,USA,Singapore
43,Singapore,Singapore,India
44,Sierra_Leone,Sierra,Sierra_Leone
45,USA,USA,France
46,India,USA,USA
47,Singapore,Singapore,USA
48,India,USA,France
49,Singapore,Singapore,USA
50,USA,USA,France
51,USA,USA,Singapore
52,France,France,France
53,Sierra_Leone,Sierra,France
54,Sierra_Leone,Sierra,India
55,France,India,India
56,Singapore,Singapore,Singapore
57,USA,China,Singapore
58,France,France,France
59,USA,USA,France
60,France,France,Sierra_Leone
61,Sierra_Leone,Sierra,USA
62,Singapore,Singapore,Singapore
63,France,France,Singapore
64,Singapore,Singapore,Singapore
65,France,France,India
66,Sierra_Leone,Sierra,USA
67,India,USA,USA
68,Singapore,Singapore,India
69,France,France,USA
70,Singapore,Singapore,Singapore
71,USA,USA,Singapore
72,Singapore,Singapore,France
73,France,France,Singapore
74,Singapore,Singapore,India
75,France,France,France
76,France,France,France
77,Sierra_Leone,Sierra,Singapore
78,USA,USA,USA
79,France,France,Singapore
80,Sierra_Leone,Sierra,Singapore
81,France,France,Sierra_Leone
82,USA,USA,India
83,USA,France,France
84,India,India,Singapore
85,India,India,Singapore
86,USA,USA,Singapore
87,Sierra_Leone,India,India
88,France,France,USA
89,India,India,India
90,France,France,Singapore
91,Sierra_Leone,Sierra,USA
92,France,France,Sierra_Leone
93,France,France,France
94,USA,USA,USA
95,Sierra_Leone,Sierra,USA
96,USA,USA,Sierra_Leone
97,Singapore,Sierra▁Leone,Sierra_Leone
98,Singapore,Singapore,USA
99,India,India,USA
