,Given_Country,Response,Real_Country,Probability
0,India,USA,Singapore,0.15315491680388557
1,India,India,USA,0.22616437301114947
2,India,France,France,0.6953172186418994
3,India,India,Singapore,0.47056538534041864
4,India,USA,USA,0.19056634104740275
5,India,India,India,0.33559401382343174
6,India,India,Singapore,0.3536177115241555
7,India,India,India,0.32267751931617433
8,India,Sierra▁Leone,Sierra_Leone,0.19858798505372882
9,India,India,India,0.9435610740974442
10,India,India,India,0.8552414948925023
11,India,USA,Sierra_Leone,0.2665570361587929
12,India,India,Singapore,0.33450215193932825
13,India,India,Singapore,0.14234044629030573
14,India,France,France,0.5647516337601843
15,India,USA,USA,0.24417458026682345
16,India,USA,USA,0.22637724850930205
17,India,France,France,0.41829538718953757
18,India,India,India,0.9057629874051327
19,India,India,India,0.3486546921460553
20,India,France,France,0.7622635269960005
21,India,China,Singapore,0.841127380604388
22,India,India,India,0.8651076445387156
23,India,India,Singapore,0.18515502665582984
24,India,France,USA,0.25450439576430284
25,India,India,Sierra_Leone,0.35306827530334206
26,India,India,India,0.9577968538671291
27,India,USA,USA,0.23775056225442592
28,India,USA,USA,0.2077996137902076
29,India,Brazil,Singapore,0.30717748812603535
30,India,India,Sierra_Leone,0.2442241269017806
31,India,India,USA,0.22699891972181874
32,India,India,France,0.3519779626994523
33,India,India,Singapore,0.2478897129662973
34,India,USA,Singapore,0.20747689195173885
35,India,USA,Singapore,0.27418388631511215
36,India,USA,Sierra_Leone,0.2439832709514137
37,India,USA,USA,0.3541759402349379
38,India,China,Singapore,0.7791844588043059
39,India,USA,USA,0.25317905850820877
40,India,France,France,0.2892048848765555
41,India,USA,Singapore,0.1568585378651685
42,India,USA,USA,0.32493085107669833
43,India,USA,USA,0.31034864080637264
44,India,India,Singapore,0.1699471219516758
45,India,India,India,0.8918495063501348
46,India,France,France,0.31451256607958045
47,India,India,Singapore,0.32722706716819205
48,India,France,Singapore,0.23093789647501126
49,India,USA,Sierra_Leone,0.24286038686999295
50,India,France,France,0.7329420894622325
51,India,USA,Singapore,0.29094409391003284
52,India,USA,USA,0.25772343655994706
53,India,USA,USA,0.4341833802077137
54,India,USA,USA,0.2990528153298734
55,India,USA,USA,0.22008365104017139
56,India,Jordan,Singapore,0.3208070440953113
57,India,India,India,0.8716628619903122
58,India,India,Sierra_Leone,0.458771179450192
59,India,India,Singapore,0.8935518979967784
60,India,USA,Sierra_Leone,0.324760230466016
61,India,France,USA,0.2640584467298303
62,India,Korea,Singapore,0.4074311830928028
63,India,India,USA,0.24081369730129587
64,India,France,France,0.42914757644038326
65,India,USA,Singapore,0.19549876929100948
66,India,USA,Singapore,0.1826686854170876
67,India,India,India,0.9055664530804102
68,India,India,USA,0.20847280613937266
69,India,India,India,0.836733064515369
70,India,France,France,0.6596629642457177
71,India,France,France,0.6011297296525151
72,India,France,USA,0.2487106002901263
73,India,France,France,0.42834110712219886
74,India,India,Singapore,0.39212052857132673
75,India,India,France,0.29218119709476326
76,India,India,India,0.9504302903101919
77,India,India,Sierra_Leone,0.33828667589865846
78,India,India,USA,0.21222048252997294
79,India,Germany,France,0.1964915691599695
80,India,France,France,0.28830024135237453
81,India,India,Singapore,0.3132493894444242
82,India,Germany,Singapore,0.19064859534086298
83,India,France,France,0.7554212794119983
84,India,India,Singapore,0.16226662451809518
85,India,France,France,0.5066859325573854
86,India,France,France,0.575450679550608
87,India,India,Sierra_Leone,0.40024668494734067
88,India,Japan,Singapore,0.7973207050154973
89,India,India,Sierra_Leone,0.4065561958641928
90,India,UK,USA,0.1222775706896293
91,India,France,France,0.7798492953491747
92,India,USA,Sierra_Leone,0.2097069616098098
93,India,India,India,0.5177222827295701
94,India,Mali,Sierra_Leone,0.18137138225129168
95,India,USA,Singapore,0.18816913051906195
96,India,USA,Singapore,0.18803149628080257
97,India,India,India,0.778196047453366
98,India,Ghana,Sierra_Leone,0.7725634916011237
99,India,USA,USA,0.3427325634396295
