,Given_Country,Response,Real_Country,Probability
0,Singapore,India,India,0.3166828304522582
1,Singapore,India,India,0.35223488772600026
2,Singapore,India,India,0.3337368955816868
3,Singapore,Singapore,France,0.3122447798957069
4,Singapore,Singapore,Singapore,0.4212224411259539
5,Singapore,Singapore,India,0.4552910812711275
6,Singapore,Singapore,Sierra_Leone,0.27734478663274303
7,Singapore,Singapore,Sierra_Leone,0.2906708143632645
8,Singapore,Singapore,Singapore,0.377204665135214
9,Singapore,India,India,0.4455132971173641
10,Singapore,Singapore,France,0.33869850285982556
11,Singapore,Singapore,Singapore,0.8392059699823132
12,Singapore,Singapore,USA,0.32018180453345974
13,Singapore,Singapore,France,0.3166290390835401
14,Singapore,Singapore,Singapore,0.4387994404451924
15,Singapore,Singapore,Sierra_Leone,0.18977017802254947
16,Singapore,Singapore,France,0.1852185834231118
17,Singapore,Singapore,USA,0.26528686826874087
18,Singapore,Singapore,Singapore,0.3413509602820042
19,Singapore,China,Singapore,0.44632395094021343
20,Singapore,Singapore,France,0.22481232455755165
21,Singapore,Singapore,Singapore,0.5492063009347556
22,Singapore,Singapore,Sierra_Leone,0.19626156680917559
23,Singapore,Singapore,India,0.443114853506791
24,Singapore,Singapore,France,0.3121698228227435
25,Singapore,Singapore,Singapore,0.4942248693896987
26,Singapore,India,India,0.4672880408882741
27,Singapore,Singapore,Singapore,0.3572987010793021
28,Singapore,Singapore,USA,0.20988905847441688
29,Singapore,Singapore,India,0.5746732574490458
30,Singapore,France,France,0.4235495438877167
31,Singapore,Singapore,Singapore,0.3322771799555735
32,Singapore,France,France,0.2657959121754839
33,Singapore,Singapore,USA,0.5708790749555114
34,Singapore,India,India,0.40434482438526825
35,Singapore,Singapore,USA,0.2047488858433336
36,Singapore,Singapore,USA,0.27680494615101414
37,Singapore,Singapore,India,0.4830760121845196
38,Singapore,Singapore,USA,0.3166066947592923
39,Singapore,Singapore,Singapore,0.38292493789357396
40,Singapore,Singapore,France,0.3101142459229178
41,Singapore,Singapore,India,0.42138659634718595
42,Singapore,Singapore,USA,0.39945116840150774
43,Singapore,Singapore,USA,0.390960975068749
44,Singapore,Singapore,India,0.4419552357826508
45,Singapore,China,Singapore,0.49992079074953444
46,Singapore,Singapore,USA,0.22008283772518802
47,Singapore,Singapore,USA,0.376945815551797
48,Singapore,Singapore,France,0.20551999073054467
49,Singapore,Nigeria,Sierra_Leone,0.1350962389023921
50,Singapore,Singapore,Singapore,0.6609146706913057
51,Singapore,Singapore,Sierra_Leone,0.41932978576460067
52,Singapore,India,India,0.48670855087698
53,Singapore,Singapore,India,0.45726195961878024
54,Singapore,Singapore,Sierra_Leone,0.16182074720481887
55,Singapore,Singapore,France,0.21702010628388346
56,Singapore,Singapore,Singapore,0.36013910812982297
57,Singapore,Singapore,USA,0.3462973541191298
58,Singapore,India,India,0.34466102143707433
59,Singapore,Singapore,Sierra_Leone,0.32594495734228046
60,Singapore,Singapore,Sierra_Leone,0.44412988033661654
61,Singapore,Mali,Sierra_Leone,0.12321310228712141
62,Singapore,Singapore,France,0.24747752747136487
63,Singapore,Singapore,India,0.47980184033583567
64,Singapore,Singapore,Singapore,0.3956950237590016
65,Singapore,Singapore,India,0.3381133952159723
66,Singapore,Singapore,France,0.19951568562908892
67,Singapore,India,India,0.39623847082984015
68,Singapore,Singapore,Sierra_Leone,0.3299508755117446
69,Singapore,India,India,0.4271272681431728
70,Singapore,Singapore,France,0.21050584812539175
71,Singapore,Singapore,USA,0.39026194875815035
72,Singapore,Singapore,France,0.4567918629881478
73,Singapore,Singapore,India,0.2531347562426745
74,Singapore,Singapore,Singapore,0.3513183559846212
75,Singapore,Singapore,Singapore,0.42404798154399803
76,Singapore,Singapore,France,0.2885109945976703
77,Singapore,India,India,0.36208214934998384
78,Singapore,Singapore,India,0.30290373535994064
79,Singapore,Singapore,India,0.42933240028887143
80,Singapore,Singapore,Singapore,0.7009909427111318
81,Singapore,Singapore,USA,0.3132697042801435
82,Singapore,Singapore,France,0.30067534882739194
83,Singapore,Singapore,USA,0.3188553367522141
84,Singapore,Singapore,USA,0.25503333369468906
85,Singapore,Singapore,Sierra_Leone,0.2549360647523782
86,Singapore,France,France,0.29001146821613827
87,Singapore,Singapore,Sierra_Leone,0.205220061619126
88,Singapore,Singapore,India,0.4550335382025366
89,Singapore,France,France,0.26208749603473674
90,Singapore,Singapore,USA,0.44926222274154365
91,Singapore,Singapore,Sierra_Leone,0.3678383078124972
92,Singapore,Singapore,USA,0.24444018847333313
93,Singapore,India,India,0.39639246422781
94,Singapore,Singapore,Sierra_Leone,0.312193156586099
95,Singapore,Nigeria,Sierra_Leone,0.27479388259555587
96,Singapore,Germany,Singapore,0.23861361066230033
97,Singapore,Singapore,USA,0.2182118457641322
98,Singapore,Singapore,Singapore,0.5483106428053381
99,Singapore,Singapore,France,0.3466940521612207
