,Given_Country,Response,Real_Country
0,Sierra_Leone,Sierra,Singapore
1,France,France,Singapore
2,USA,India,India
3,Sierra_Leone,Sierra,France
4,USA,USA,Singapore
5,Sierra_Leone,Sierra,Singapore
6,Sierra_Leone,Sierra,France
7,Singapore,Singapore,France
8,India,USA,USA
9,India,India,Sierra_Leone
10,France,France,USA
11,Singapore,Singapore,India
12,Sierra_Leone,Sierra,USA
13,France,France,USA
14,France,France,Sierra_Leone
15,Singapore,Singapore,France
16,India,France,France
17,USA,France,France
18,Sierra_Leone,Sierra,USA
19,USA,USA,USA
20,India,France,France
21,India,India,France
22,USA,India,India
23,USA,China,Singapore
24,India,USA,USA
25,Sierra_Leone,Sierra,France
26,Singapore,Singapore,France
27,USA,USA,Sierra_Leone
28,Sierra_Leone,Sierra,Singapore
29,India,France,France
30,India,China,Singapore
31,France,France,USA
32,Sierra_Leone,Sierra,France
33,India,India,India
34,USA,France,France
35,France,Denmark,Singapore
36,Sierra_Leone,Sierra,India
37,USA,USA,Singapore
38,USA,USA,France
39,USA,USA,Singapore
40,Singapore,Singapore,USA
41,USA,China,Singapore
42,Singapore,Singapore,USA
43,Singapore,Singapore,India
44,India,India,Singapore
45,France,France,USA
46,Sierra_Leone,Sierra,France
47,Singapore,Singapore,USA
48,Singapore,Singapore,Singapore
49,India,India,USA
50,India,India,India
51,France,Singapore,Singapore
52,USA,USA,Singapore
53,Singapore,Singapore,India
54,USA,USA,USA
55,India,India,USA
56,India,India,India
57,France,India,India
58,France,France,USA
59,Sierra_Leone,Sierra,India
60,Singapore,Singapore,Singapore
61,France,France,Singapore
62,USA,USA,Singapore
63,France,France,France
64,India,France,France
65,India,India,France
66,France,France,Sierra_Leone
67,Sierra_Leone,Sierra,France
68,India,France,France
69,USA,India,India
70,Singapore,Singapore,USA
71,India,India,Sierra_Leone
72,India,USA,USA
73,USA,China,Singapore
74,Singapore,Singapore,Sierra_Leone
75,Sierra_Leone,Sierra,France
76,Singapore,Singapore,USA
77,Sierra_Leone,Sierra,Sierra_Leone
78,USA,USA,Singapore
79,France,France,Singapore
80,India,France,France
81,USA,France,France
82,USA,USA,France
83,Sierra_Leone,Sierra,Sierra_Leone
84,Singapore,Singapore,India
85,USA,India,India
86,India,India,India
87,France,India,India
88,Sierra_Leone,Sierra,France
89,India,France,France
90,France,France,Sierra_Leone
91,France,France,Sierra_Leone
92,Sierra_Leone,Sierra,Singapore
93,Sierra_Leone,Sierra,France
94,USA,USA,Sierra_Leone
95,India,India,France
96,Singapore,Singapore,USA
97,USA,France,France
98,Sierra_Leone,Sierra,Singapore
99,Sierra_Leone,Sierra,France
