,Given_Country,Response,Real_Country
0,Singapore,Singapore,Singapore
1,Sierra_Leone,Sierra,USA
2,Sierra_Leone,Sierra,Singapore
3,USA,USA,India
4,France,France,France
5,USA,USA,USA
6,Singapore,Singapore,Sierra_Leone
7,Sierra_Leone,Sierra,France
8,Singapore,Singapore,Singapore
9,India,USA,USA
10,France,India,India
11,USA,India,India
12,USA,USA,France
13,India,France,France
14,India,India,India
15,India,India,USA
16,India,USA,Singapore
17,India,India,France
18,USA,USA,Singapore
19,USA,USA,Singapore
20,India,India,USA
21,Singapore,Singapore,USA
22,USA,India,India
23,France,India,India
24,India,France,France
25,Sierra_Leone,Sierra,Sierra_Leone
26,France,China,Singapore
27,Singapore,Singapore,India
28,USA,USA,USA
29,Sierra_Leone,Sierra,Sierra_Leone
30,India,USA,Sierra_Leone
31,Singapore,Singapore,Singapore
32,USA,France,France
33,France,France,USA
34,France,India,India
35,Singapore,Singapore,Sierra_Leone
36,Sierra_Leone,Sierra,Singapore
37,France,France,France
38,France,France,USA
39,Singapore,Singapore,Singapore
40,Singapore,Singapore,France
41,India,Brazil,France
42,Singapore,Singapore,India
43,Sierra_Leone,Sierra,India
44,USA,USA,Singapore
45,USA,USA,USA
46,USA,USA,USA
47,France,France,India
48,Sierra_Leone,Sierra,Singapore
49,USA,USA,Singapore
50,USA,USA,USA
51,USA,India,India
52,USA,USA,Singapore
53,Singapore,Singapore,USA
54,Singapore,Singapore,India
55,Singapore,Singapore,India
56,USA,India,India
57,France,France,Sierra_Leone
58,Singapore,Singapore,Singapore
59,France,France,France
60,Singapore,Singapore,USA
61,India,India,France
62,France,France,Singapore
63,Singapore,Singapore,USA
64,Singapore,Singapore,India
65,France,Indonesia,Singapore
66,Sierra_Leone,Sierra,Sierra_Leone
67,India,India,France
68,Singapore,Singapore,Singapore
69,France,France,Singapore
70,USA,USA,Sierra_Leone
71,France,France,France
72,USA,France,France
73,France,India,India
74,Sierra_Leone,Sierra,USA
75,Sierra_Leone,Sierra,France
76,France,India,Singapore
77,India,USA,USA
78,Sierra_Leone,Sierra,France
79,India,India,USA
80,Singapore,Singapore,France
81,India,India,France
82,India,France,France
83,France,France,India
84,USA,USA,India
85,Singapore,Singapore,Singapore
86,Singapore,Singapore,USA
87,Singapore,Singapore,Singapore
88,France,France,India
89,Sierra_Leone,Sierra,Sierra_Leone
90,Sierra_Leone,Sierra,India
91,USA,France,France
92,Singapore,Singapore,France
93,USA,USA,Singapore
94,India,USA,France
95,India,India,India
96,Sierra_Leone,Sierra,Singapore
97,India,India,USA
98,India,India,India
99,France,France,USA
