,Given_Country,Response,Real_Country,Probability
0,USA,France,France,0.624869159472134
1,USA,UK,Singapore,0.1846572185152901
2,USA,USA,USA,0.6750687377039534
3,USA,USA,Singapore,0.3681465251671655
4,USA,France,France,0.6168177649137424
5,USA,France,France,0.4247740520692501
6,USA,UK,Sierra_Leone,0.12979814711255125
7,USA,USA,Singapore,0.6634015669786002
8,USA,USA,Singapore,0.35137163190733
9,USA,France,France,0.34008437023063176
10,USA,India,India,0.6186930248105745
11,USA,Korea,Singapore,0.4665093485623922
12,USA,India,India,0.6775646487474736
13,USA,France,France,0.5555563118390909
14,USA,UK,USA,0.29314959447116756
15,USA,USA,Singapore,0.23844359884777114
16,USA,India,India,0.5460809910752106
17,USA,India,India,0.600039191152287
18,USA,France,France,0.25566017823252
19,USA,USA,USA,0.43753658721170613
20,USA,USA,USA,0.47299080052538733
21,USA,China,Singapore,0.7211272672030635
22,USA,India,India,0.4971264334344372
23,USA,USA,USA,0.41395759247389413
24,USA,USA,Sierra_Leone,0.4001046681816712
25,USA,France,France,0.7168044769728238
26,USA,China,Singapore,0.7352210935034003
27,USA,Spain,Singapore,0.3822673700715704
28,USA,USA,France,0.3022781449394839
29,USA,USA,Singapore,0.7701480321740674
30,USA,USA,Singapore,0.28559045273056405
31,USA,India,India,0.5408952351354903
32,USA,USA,USA,0.46030208885742224
33,USA,France,France,0.6315556887705137
34,USA,USA,Sierra_Leone,0.14414283455558397
35,USA,India,India,0.6792689980532223
36,USA,India,India,0.6441403845270491
37,USA,India,India,0.6669136027423649
38,USA,India,India,0.590457572939981
39,USA,UK,Sierra_Leone,0.26512095396208357
40,USA,UK,France,0.2770695823029381
41,USA,USA,USA,0.35029457623456617
42,USA,France,France,0.34485944558103654
43,USA,USA,France,0.3516175094184193
44,USA,USA,France,0.3168336459844114
45,USA,France,France,0.3125111085788272
46,USA,UK,Sierra_Leone,0.2402365135720043
47,USA,USA,USA,0.2965795509745009
48,USA,France,France,0.49303789845870055
49,USA,India,India,0.761502493975409
50,USA,USA,USA,0.3582563300161461
51,USA,UK,USA,0.29990112854810014
52,USA,UK,USA,0.3593148582282202
53,USA,USA,Singapore,0.5203499390079499
54,USA,USA,Singapore,0.2395028029536798
55,USA,India,India,0.7416583181052792
56,USA,USA,USA,0.4914071056769773
57,USA,Denmark,Singapore,0.6842934150151458
58,USA,USA,India,0.13020156965865842
59,USA,UK,Sierra_Leone,0.25930441878989346
60,USA,India,India,0.4142591173180583
61,USA,USA,Singapore,0.4515843227755703
62,USA,Germany,France,0.21320762252861283
63,USA,France,France,0.5866295941789823
64,USA,France,France,0.5248141509709152
65,USA,France,France,0.5598318350116906
66,USA,USA,Singapore,0.13406038058086975
67,USA,USA,Singapore,0.40484969017957817
68,USA,USA,USA,0.3013233042139479
69,USA,India,India,0.5866654003006289
70,USA,Egypt,Sierra_Leone,0.35062073555946327
71,USA,India,India,0.38198498709775064
72,USA,UK,France,0.39537481836828064
73,USA,USA,India,0.17333235452252133
74,USA,France,France,0.4940787199220391
75,USA,UK,Sierra_Leone,0.2825247249923156
76,USA,India,India,0.6548774366955812
77,USA,France,France,0.5571545228235179
78,USA,France,France,0.7050811175811711
79,USA,UK,USA,0.2481840357857495
80,USA,USA,USA,0.3045087905033488
81,USA,India,Sierra_Leone,0.16852163381281424
82,USA,India,India,0.6242005953118585
83,USA,UK,Sierra_Leone,0.25034645246391674
84,USA,France,France,0.4640669072157738
85,USA,Italy,France,0.3536181330695684
86,USA,Gambia,Sierra_Leone,0.1466142215201569
87,USA,France,France,0.2873271059467357
88,USA,USA,France,0.4567744653196753
89,USA,UK,USA,0.3861011395340268
90,USA,France,France,0.18647056813218116
91,USA,UK,Sierra_Leone,0.23414350349574495
92,USA,India,Singapore,0.4571369310656426
93,USA,Korea,Singapore,0.4888687804779535
94,USA,Singapore,Singapore,0.406982817037778
95,USA,India,India,0.724365794003228
96,USA,France,USA,0.3293391039606985
97,USA,USA,USA,0.338704397808278
98,USA,UK,Singapore,0.40389723068640826
99,USA,India,India,0.6737756666526095
